timestamp,endpoint,status,latency_ms
2026-05-09T02:00:42.433768,validate_token,200,194.33
2026-05-09T02:00:42.435810,cost_summary,200,351.76
2026-05-09T02:00:42.495296,cost_summary,200,362.29
2026-05-09T02:00:42.515907,validate_token,200,208.18
2026-05-09T02:00:42.560757,validate_token,200,193.51
2026-05-09T02:00:42.562073,validate_token,200,181.03
2026-05-09T02:00:42.563918,validate_token,200,232.83
2026-05-09T02:00:42.577331,login,200,193.02
2026-05-09T02:00:42.614014,cost_summary,200,393.96
2026-05-09T02:00:42.638332,login,200,182.45
2026-05-09T02:00:42.656092,cost_summary,200,379.13
2026-05-09T02:00:42.657060,validate_token,200,184.85
2026-05-09T02:00:42.665860,validate_token,200,183.9
2026-05-09T02:00:42.676241,validate_token,200,208.31
2026-05-09T02:00:42.707208,login,200,208.55
2026-05-09T02:00:42.736517,cost_summary,200,359.26
2026-05-09T02:00:42.794497,login,200,244.94
2026-05-09T02:00:42.795484,validate_token,200,222.49
2026-05-09T02:00:42.795585,health_check,200,217.19
2026-05-09T02:00:42.807197,login,200,192.58
2026-05-09T02:00:42.836912,validate_token,200,202.05
2026-05-09T02:00:42.838874,validate_token,200,235.08
2026-05-09T02:00:42.869170,cost_summary,200,375.22
2026-05-09T02:00:42.893284,login,200,210.34
2026-05-09T02:00:42.937402,validate_token,200,225.34
2026-05-09T02:00:42.939000,validate_token,200,208.99
2026-05-09T02:00:42.973506,login,200,209.07
2026-05-09T02:00:42.979234,validate_token,200,236.97
2026-05-09T02:00:42.990047,health_check,200,222.89
2026-05-09T02:00:43.002869,validate_token,200,196.41
2026-05-09T02:00:43.003490,validate_token,200,188.57
2026-05-09T02:00:43.009077,login,200,199.11
2026-05-09T02:00:43.032410,login,200,244.29
2026-05-09T02:00:43.064301,health_check,200,230.8
2026-05-09T02:00:43.095132,validate_token,200,233.9
2026-05-09T02:00:43.096385,login,200,216.32
2026-05-09T02:00:43.117436,cost_summary,200,407.95
2026-05-09T02:00:43.146881,cost_summary,200,480.16
2026-05-09T02:00:43.177106,validate_token,200,226.42
2026-05-09T02:00:43.177192,login,200,241.39
2026-05-09T02:00:43.178743,cost_summary,200,379.8
2026-05-09T02:00:43.218995,cost_summary,200,352.02
2026-05-09T02:00:43.235780,validate_token,200,218.75
2026-05-09T02:00:43.244677,login,200,204.1
2026-05-09T02:00:43.261079,validate_token,200,217.87
2026-05-09T02:00:43.262205,login,200,219.15
2026-05-09T02:00:43.267662,validate_token,200,242.53
2026-05-09T02:00:43.268545,login,200,257.14
2026-05-09T02:00:43.315106,login,200,241.07
2026-05-09T02:00:43.327765,validate_token,200,215.8
2026-05-09T02:00:43.339232,validate_token,200,224.85
2026-05-09T02:00:43.375029,validate_token,200,257.27
2026-05-09T02:00:43.383920,login,200,209.03
2026-05-09T02:00:43.385846,login,200,204.68
2026-05-09T02:00:43.399507,login,200,219.85
2026-05-09T02:00:43.417588,health_check,200,223.7
2026-05-09T02:00:43.423795,validate_token,200,246.93
2026-05-09T02:00:43.425644,validate_token,200,203.49
2026-05-09T02:00:43.436942,login,200,212.33
2026-05-09T02:00:43.448294,validate_token,200,209.46
2026-05-09T02:00:43.462290,login,200,224.92
2026-05-09T02:00:43.513096,validate_token,200,227.07
2026-05-09T02:00:43.530934,validate_token,200,213.94
2026-05-09T02:00:43.571415,login,200,189.34
2026-05-09T02:00:43.579010,login,200,231.14
2026-05-09T02:00:43.593716,validate_token,200,202.9
2026-05-09T02:00:43.628042,validate_token,200,195.71
2026-05-09T02:00:43.641744,validate_token,200,195.79
2026-05-09T02:00:43.646081,validate_token,200,184.0
2026-05-09T02:00:43.674824,validate_token,200,242.37
2026-05-09T02:00:43.679838,cost_summary,200,478.02
2026-05-09T02:00:43.687835,health_check,200,231.99
2026-05-09T02:00:43.690378,validate_token,200,217.37
2026-05-09T02:00:43.726542,validate_token,200,203.4
2026-05-09T02:00:43.731641,login,200,205.29
2026-05-09T02:00:43.737457,validate_token,200,193.27
2026-05-09T02:00:43.752152,validate_token,200,210.01
2026-05-09T02:00:43.805806,cost_summary,200,399.64
2026-05-09T02:00:43.807443,cost_summary,200,397.81
2026-05-09T02:00:43.807514,cost_summary,200,408.88
2026-05-09T02:00:43.809195,login,200,225.49
2026-05-09T02:00:43.823014,validate_token,200,218.0
2026-05-09T02:00:43.827870,cost_summary,200,396.83
2026-05-09T02:00:43.888533,validate_token,200,207.48
2026-05-09T02:00:43.889958,validate_token,200,224.67
2026-05-09T02:00:43.916923,validate_token,200,245.71
2026-05-09T02:00:43.918415,health_check,200,280.24
2026-05-09T02:00:43.938091,cost_summary,200,371.99
2026-05-09T02:00:43.942550,validate_token,200,223.31
2026-05-09T02:00:43.978880,login,200,239.6
2026-05-09T02:00:43.995714,validate_token,200,222.59
2026-05-09T02:00:44.015411,cost_summary,200,391.84
2026-05-09T02:00:44.022730,cost_summary,200,466.22
2026-05-09T02:00:44.027727,cost_summary,200,344.38
2026-05-09T02:00:44.030959,login,200,232.53
2026-05-09T02:00:44.055562,validate_token,200,198.62
2026-05-09T02:00:44.057323,cost_summary,200,383.47
2026-05-09T02:00:44.058941,cost_summary,200,357.48
2026-05-09T02:00:44.082937,login,200,217.67
2026-05-09T02:00:44.083799,validate_token,200,214.96
2026-05-09T02:00:44.097936,login,200,217.64
2026-05-09T02:00:44.104282,login,200,213.55
2026-05-09T02:00:44.139181,validate_token,200,224.79
2026-05-09T02:00:44.170943,cost_summary,200,373.15
2026-05-09T02:00:44.197564,validate_token,200,211.99
